"","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase"
"4354","unnoteworthy","Experiment_1_participant_16",1131,"Participant_16_113.TextGrid","N","N","Accented","Yannick",17,0.8045341996,4,8,0.1298629732,"V","V",0.0731978508,"@U","V",0.1297470915,0.1828568102,0.1737318683,2.351019232,"NoGlottalStop",0,9.9436419279,0.203060824,0.6014733756,0.203060824,0.8045341996,0.203060824,"unn","un",1,1,0,"noteworthy",1,269,4,"debatable","primary","transparent","word",1,1587.84,1397.33,23,"Male","English (British)","No","Canada","None","No","Zoology. 3rd year","Anglia Ruskin University","No","No","No","No","No","accented","Experiment_1",0,5.59471137960184,0,0.00371747211895911,-5.59471137960184,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4355","unnoteworthy","Experiment_1_participant_8",5282,"Participant_8_169.TextGrid","N","N","Unaccented","Mandy",78,0.8787263794,4,8,0.1374328898,"A","V",0.0688657685,"oU","V",0.1442531179,0.0306605035,0.0508163265,3.6003231113,"NoGlottalStop",0,9.1040853981,0.2062986584,0.6724277211,0.2062986584,0.8787263794,0.2062986584,"unn","un",1,1,0,"noteworthy",1,269,4,"debatable","primary","transparent","word",1,825.2,680.24,24,"female","British English","No","Surrey. England","None","No","English Language & Linguistics - First Year","Anglia Ruskin University","currently studying","currently studying","currently studying","currently studying","currently studying","unaccented","Experiment_1",0,5.59471137960184,0,0.00371747211895911,-5.59471137960184,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4356","unnoteworthy","Experiment_1_participant_6",4898,"Participant_6_156.TextGrid","N","N","Accented","Lara",64,0.9559224166,4,8,0.1490676085,"V","V",0.0953545553,"o?","V",0.2220501395,0.0425826306,0.2646898283,2.1531014739,"NoGlottalStop",0,8.3688800066,0.2444221638,0.7115002528,0.2444221638,0.9559224166,0.2444221638,"unn","un",1,1,0,"noteworthy",1,269,4,"debatable","primary","transparent","word",1,691.99,605.49,32,"Male","British English","No","England. Hertfordshire","Very Basic Spanish","No","BA Fine Art","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",0,5.59471137960184,0,0.00371747211895911,-5.59471137960184,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4357","unnoteworthy","Experiment_1_participant_3",4346,"Participant_3_167.TextGrid","N","N","Accented","Yannick",76,0.696412846,4,7,0.1135103952,"V","V",0.0733537734,"@U","V",0.1414886621,0,0,1.4569898134,"NoGlottalStop",0,10.0515090147,0.1868641686,0.5095486774,0.1868641686,0.696412846,0.1868641686,"unn","un",1,1,0,"noteworthy",1,269,4,"debatable","primary","transparent","word",1,1315.26,1129.05,19,"male","British English","no","Norfolk","Japanese - basic","no","English Language and English Language Teaching (Year 2)","Anglia Ruskin University","yes. for 1 year (with university)","yes","yes","yes","yes","accented","Experiment_1",0,5.59471137960184,0,0.00371747211895911,-5.59471137960184,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4358","unnoteworthy","Experiment_1_participant_23",2342,"Participant_23_186.TextGrid","N","N","Accented","Viktoria",97,0.9580778264,4,8,0.1915492137,"V","V",0.085824369,"@U","V",0.1715762472,0.1111842404,0.2848311099,2.1862807706,"NoGlottalStop",0,8.3500523442,0.2773735828,0.6807042436,0.2773735828,0.9580778264,0.2773735828,"unn","un",1,1,0,"noteworthy",1,269,4,"debatable","primary","transparent","word",1,1127.05,942.98,55,"male","British English",NA,"North West England","basic french and german","2 years secondary school",NA,NA,"no","no","no","no","no","accented","Experiment_1",0,5.59471137960184,0,0.00371747211895911,-5.59471137960184,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4359","unnoticed","Experiment_1_participant_30",3912,"Participant_30_65.TextGrid","N","N","Unaccented","Mandy",281,0.5229607078,3,7,0.0891204664,"V","V",0.0533758689,"oU","V",0.1292913832,0,0,3.1909421164,"NoGlottalStop",0,13.3853268431,0.1424963352,0.3804643726,0.1424963352,0.5229607078,0.1424963352,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,658.03,536.12,18,"Female","British English","N/A","North London","Proficient French and German. Medium proficient Spanish","No","MML- Year 1","Cambridge University","No","No","No","No","No","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4360","unnoticed","Experiment_1_participant_9",5566,"Participant_9_314.TextGrid","N","N","Unaccented","Mandy",240,0.5756698229,3,7,0.1011359451,"A","V",0.0938571681,"oI","V",0.1506273621,0.0279704836,0,2.8016106678,"NoGlottalStop",0,12.159748039,0.1949931132,0.3806767097,0.1949931132,0.5756698229,0.1949931132,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1013.95,871.53,19,"female","British English","no","England","French. basic","no","BA(Hons) first year","Anglia Ruskin University","Yes. 2 years","Yes","Yes","Yes","Yes","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4361","unnoticed","Experiment_1_participant_5",4682,"Participant_5_110.TextGrid","N","N","Accented","Mandy",14,0.8029499874,3,8,0.1733566009,"V","V",0.0568748755,"oU","V",0.142596188,0,0,1.5632925451,"GlottalStop",0.0660146133,9.9632606333,0.2962460896,0.5067038978,0.2962460896,0.7369353741,0.2302314764,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,679.63,564.35,20,"Male","British English","No","Nantwich","None","A couple of phrases","Computer Gaming Technology Extended course. First Year","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4362","unnoticed","Experiment_1_participant_20",1941,"Participant_20_219.TextGrid","N","N","Unaccented","Mandy",134,0.593450766,3,7,0.1192260004,"A","V",0.077028034,"oI","V",0.1205656184,0,0,3.339678489,"NoGlottalStop",0,11.7954182568,0.1962540344,0.3971967317,0.1962540344,0.593450766,0.1962540344,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,928.7,842.19,24,"female","British English ","no","West Sussex","Mandarin. Basic ","no","MA Dramatherapy year 1","Anglia Ruskin","No","No","No","No","No","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
"4363","unnoticed","Experiment_1_participant_23",2382,"Participant_23_250.TextGrid","N","N","Unaccented","Viktoria",169,0.7629668194,3,7,0.1424618363,"V","V",0.1403155199,"O","V",0.1457265455,0,0,2.9364291529,"NoGlottalStop",0,9.1747109077,0.2827773562,0.4801894632,0.2827773562,0.7629668194,0.2827773562,"unn","un",391,1729,146,"noticed",390,1,3,"debatable","primary","transparent","word",1,1127.05,942.98,55,"male","British English",NA,"North West England","basic french and german","2 years secondary school",NA,NA,"no","no","no","no","no","unaccented","Experiment_1",5.96870755998537,0,5.96614673912369,390,5.96614673912369,"NA","NA","NA","NA","NA","NA","n",1,"word"
