"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","RatingCategorical"
"277",1460,"ineliminable","Experiment_1_participant_2",3722,"Participant_2_52.TextGrid","N","N","Unaccented","Lara",267,0.690244428,6,11,0.0541931267,"I","V",0.0480962289,"@","V",0.0645335698,0.2202038568,0,4.0838267386,"NoGlottalStop",0,15.9363836251,0.1022893557,0.5879550724,0.1022893557,0.690244428,0.1022893557,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",NA,NA,NA,28,"Male","English","No","Essex","None","No","PhD Film Studies. 4th Year","Anglia Ruskin","Yes. A-Level","Not formally","No","No","Yes","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","No Pause",2.20381533695657,"LowFreq",NA
"278",1461,"ineliminable","Experiment_1_participant_15",1006,"Participant_15_207.TextGrid","N","N","Unaccented","Simon",121,0.7399417989,6,12,0.0436528551,"I","V",0.0713174603,"@","V",0.0611885188,0.0783122729,0.0418392542,3.1799315295,"NoGlottalStop",0,16.2174917232,0.1149703154,0.6249714835,0.1149703154,0.7399417989,0.1149703154,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,905.94,743.31,57,"female","British English","No","South East England","French - proficient. Italian - proficient. German - medium proficient","No","MA in Translation. 3rd year","Bristol","No","No","No","No","No","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","Pause",2.83024961905866,"LowFreq","simply_decomposed"
"279",1462,"ineliminable","Experiment_1_participant_9",5542,"Participant_9_281.TextGrid","N","N","Unaccented","Viktoria",203,0.9021139862,6,11,0.06563845,"I","V",0.1022011402,"{","V",0.1150349475,0.1200045868,0,3.3242173469,"NoGlottalStop",0,12.1935810421,0.1678395902,0.734274396,0.1678395902,0.9021139862,0.1678395902,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,1013.95,871.53,19,"female","British English","no","England","French. basic","no","BA(Hons) first year","Anglia Ruskin University","Yes. 2 years","Yes","Yes","Yes","Yes","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","No Pause",2.7074041979815,"LowFreq","simply_decomposed"
"280",1463,"ineliminable","Experiment_1_participant_11",320,"Participant_11_308.TextGrid","N","N","Accented","Viktoria",233,1.1262151454,6,12,0.0545396338,"I","V",0.0503320522,"@","V",0.0616409523,0,0,6.98,"GlottalStop",0.161612712,10.6551577192,0.266484398,0.8597307474,0.266484398,0.9646024334,0.104871686,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,1004.83,804.63,19,"female","British English","I only know British English","Cuckfield. West Sussex. UK","I know a little weeny bit of spanish (did it for GCSE)","No knowledge of latin- always something I wish I was taught","I am currently studying English Language and English Language Teaching","Anglia Ruskin University","Not really. but did occur slightly in my English Language A-Level","As I have just started the course. I've had 2 lectures on it!","Just had 2 lectures on it!","Not as of yet.","Slightly. 2 lectures into it.","accented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","No Pause","No Pause",0.573065902578797,"LowFreq","simply_decomposed"
"282",1465,"ineliminable","Experiment_1_participant_28",3280,"Participant_28_22.TextGrid","N","N","Unaccented","Lara",135,0.7914867789,6,11,0.0395956535,"I","V",0.0892841899,"@","V",0.0739295684,0.2766666667,0.2384210822,4.180281683,"NoGlottalStop",0,13.8978948134,0.1288798434,0.6626069355,0.1288798434,0.7914867789,0.1288798434,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,757.61,650.42,19,"Female","British English","No","Kent. England","Brazilian Portuguese. basic","No","Psychological and Behavioural Sciences. First Year","University of Cambridge","No","No","No","No","No","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","Pause",2.15296496324647,"LowFreq","simply_decomposed"
"283",1466,"ineliminable","Experiment_1_participant_23",2321,"Participant_23_158.TextGrid","N","N","Accented","Viktoria",66,0.7828749396,6,12,0.0680449134,"I","V",0.0558321391,"e","V",0.0816211864,0.5817795704,0.2145068027,2.6189491122,"NoGlottalStop",0,15.3281186983,0.1238770526,0.658997887,0.1238770526,0.7828749396,0.1238770526,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,1127.05,942.98,55,"male","British English",NA,"North West England","basic french and german","2 years secondary school",NA,NA,"no","no","no","no","no","accented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","Pause",1.52733017276532,"LowFreq","simply_decomposed"
"284",1467,"ineliminable","Experiment_1_participant_17",1350,"Participant_17_166.TextGrid","N","N","Unaccented","Viktoria",75,1.189617158,6,13,0.0543090263,"I","V",0.0606012966,"{","V",0.0814476761,0,0,4.1211813137,"GlottalStop",0.3736376741,10.9278854234,0.488547997,0.701069161,0.488547997,0.8159794839,0.1149103229,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,661.54,535.85,20,"Female","British English","No","3 years in Cambridge. 2 in Bristol. 3 in Felixstowe. 8 in Bradford. 2 in Abingdon","Basic French","No","2nd year Natural Sciences (Chemistry and materials)","Cambridge","No","No","No","No","No","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","No Pause","No Pause",2.18383985438384,"LowFreq","simply_decomposed"
"285",1468,"ineliminable","Experiment_1_participant_10",150,"Participant_10_47.TextGrid","N","N","Unaccented","Yannick",261,0.6794699136,6,11,0.0421350805,"I","V",0.0867537673,"@","V",0.0721740275,0.1501629555,0.2796429327,3.7539886621,"NoGlottalStop",0,16.1890906136,0.1288888478,0.5505810658,0.1288888478,0.6794699136,0.1288888478,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,1125.85,875.1,19,"Male","British English","No","England","Basic French","Yes. self study. minute proficiency","English Language and English Language Teaching. 1 ","Anglia Ruskin University","Studying now. 2 weeks","Studying now","Studying now","Studying now","Studying now","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","Pause",2.39744996857965,"LowFreq","simply_decomposed"
"286",1469,"ineliminable","Experiment_1_participant_27",3077,"Participant_27_198.TextGrid","N","N","Accented","Simon",110,0.8088932795,6,12,0.0352211407,"I","V",0.0595026043,"@","V",0.0921392234,0.2478793527,0,3.4837615176,"NoGlottalStop",0,14.8350843115,0.0947237451,0.7141695344,0.0947237451,0.8088932795,0.0947237451,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,652.99,504.12,19,"Female","British English","No","Czech Republic (ages 4-7). mostly Cheltenham. England","Proficient - French. Spanish. very basic Czech and German","Yes. studied for 7 years - A* GCSE","MML. 1st Year","Cambridge","No","A couple of lectures","A couple of lectures","No","No","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","No Pause",2.58341449451459,"LowFreq","simply_decomposed"
"287",1470,"ineliminable","Experiment_1_participant_20",1880,"Participant_20_124.TextGrid","N","N","Accented","Viktoria",29,1.0559549944,6,12,0.0927596669,"I","V",0.0937391389,"e","V",0.084322829,0.4305733502,0.1531814059,2.9763681028,"NoGlottalStop",0,11.3641206901,0.1864988058,0.8694561886,0.1864988058,1.0559549944,0.1864988058,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",3,928.7,842.19,24,"female","British English ","no","West Sussex","Mandarin. Basic ","no","MA Dramatherapy year 1","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","Pause",1.34391979145221,"LowFreq","difficultly_decomposed"
"288",1471,"ineliminable","Experiment_1_participant_4",4641,"Participant_4_55.TextGrid","N","N","Accented","Mandy",270,0.6408822258,6,11,0.0396077472,"I","V",0.0514779688,"{","V",0.0734406994,0.2225435477,0,2.0440477197,"NoGlottalStop",0,17.163840027,0.091085716,0.5497965098,0.091085716,0.6408822258,0.091085716,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,827.78,687.64,29,"MALE","BRITISH","N/A","SPRATTON. NORTHAMPTONSHIRE","BASIC FRENCH AND GERMAN","KNOWLEDGE FROM BIOMEDICAL TERMS","BIOMEDICAL SCIENCE YEAR 2","ANGLIA RUSKIN","NO","NO","NO","NO","NO","accented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","No Pause",1.95690147614904,"LowFreq","simply_decomposed"
"289",1472,"ineliminable","Experiment_1_participant_22",2145,"Participant_22_144.TextGrid","N","N","Accented","Yannick",51,0.9350949546,6,12,0.0613816905,"I","V",0.074150757,"E","V",0.1037396099,0,0.2597472725,2.216909281,"GlottalStop",0.0809424603,12.8329213417,0.2164749078,0.7186200469,0.2164749078,0.8541524943,0.1355324474,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",3,1236.11,1055.97,30,"Female","English","No","Cambridge UK","None","No","English Language teaching. 1st year","Anglia Ruskin Cambridge","No","currently Studying","currently Studying","currently Studying","currently Studying","accented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","No Pause","Pause",1.80431379591486,"LowFreq","difficultly_decomposed"
"290",1473,"ineliminable","Experiment_1_participant_30",3907,"Participant_30_59.TextGrid","N","N","Unaccented","Mandy",274,0.7282094124,6,11,0.0663530961,"I","V",0.0522802073,"{","V",0.0749418075,0.3996565046,0,4.4258417515,"NoGlottalStop",0,15.1055449331,0.1186333035,0.609576109,0.1186333035,0.7282094124,0.1186333035,"n#V","Neg",2,13,0,"eliminable",2,1,6,"unstressed","unstressed","transparent","bound",1,658.03,536.12,18,"Female","British English","N/A","North London","Proficient French and German. Medium proficient Spanish","No","MML- Year 1","Cambridge University","No","No","No","No","No","unaccented","Experiment_1",0.693147180559945,0,0.693147180559945,2,0.693147180559945,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","No Pause",2.03351147766405,"LowFreq","simply_decomposed"
"291",1474,"inelligble","Experiment_1_participant_15",936,"Participant_15_105.TextGrid","N","N","Unaccented","Mandy",8,0.6050945451,5,9,0.0463651494,"I","V",0.0539948576,"{","V",0.0962517026,0.0474448495,0,3.0742169687,"NoGlottalStop",0,14.8737087005,0.100360007,0.5047345381,0.100360007,0.6050945451,0.100360007,"n#V","Neg",1,0,0,"elligble",1,1,5,"unstressed","primary","transparent","bound",1,905.94,743.31,57,"female","British English","No","South East England","French - proficient. Italian - proficient. German - medium proficient","No","MA in Translation. 3rd year","Bristol","No","No","No","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","No Pause",2.92757475859157,"LowFreq","simply_decomposed"
"292",1475,"inelligble","Experiment_1_participant_9",5544,"Participant_9_286.TextGrid","N","N","Accented","Viktoria",208,0.7109948759,5,9,0.0858777936,"I","V",0.0604664388,"{","V",0.0782135162,0,0,2.797937757,"NoGlottalStop",0,12.6583190755,0.1463442324,0.5646506435,0.1463442324,0.7109948759,0.1463442324,"n#V","Neg",1,0,0,"elligble",1,1,5,"unstressed","primary","transparent","bound",1,1013.95,871.53,19,"female","British English","no","England","French. basic","no","BA(Hons) first year","Anglia Ruskin University","Yes. 2 years","Yes","Yes","Yes","Yes","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word","No Pause","No Pause",3.21665482996661,"LowFreq","simply_decomposed"
"293",1476,"inelligble","Experiment_1_participant_11",209,"Participant_11_132.TextGrid","N","N","Unaccented","Lara",38,0.7596689931,5,10,0.0428081819,"I","V",0.0583341329,"e","V",0.1207224313,0,0,7.98,"NoGlottalStop",0,13.1636279621,0.1011423148,0.6585266783,0.1011423148,0.7596689931,0.1011423148,"n#V","Neg",1,0,0,"elligble",1,1,5,"unstressed","primary","transparent","bound",1,1004.83,804.63,19,"female","British English","I only know British English","Cuckfield. West Sussex. UK","I know a little weeny bit of spanish (did it for GCSE)","No knowledge of latin- always something I wish I was taught","I am currently studying English Language and English Language Teaching","Anglia Ruskin University","Not really. but did occur slightly in my English Language A-Level","As I have just started the course. I've had 2 lectures on it!","Just had 2 lectures on it!","Not as of yet.","Slightly. 2 lectures into it.","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word","No Pause","No Pause",1.12781954887218,"LowFreq","simply_decomposed"
"294",1477,"inelligble","Experiment_1_participant_26",2923,"Participant_26_249.TextGrid","N","N","Accented","Mandy",167,0.8066069209,5,10,0.0432893817,"I","V",0.0866625796,"{","V",0.0858805476,0.0411873254,0,1.8993005802,"NoGlottalStop",0,12.3976124434,0.1299519613,0.6766549596,0.1299519613,0.8066069209,0.1299519613,"n#V","Neg",1,0,0,"elligble",1,1,5,"unstressed","primary","transparent","bound",1,740.99,621.16,19,"Male","British English","No","Buckingham. England","None","No","Computer Gaming Technology. 2nd Year","Anglia Ruskin University","No","No","no","No","No","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word","Pause","No Pause",2.10603842367004,"LowFreq","simply_decomposed"
"295",1478,"inelligble","Experiment_1_participant_3",4313,"Participant_3_105.TextGrid","N","N","Unaccented","Yannick",8,0.5744797036,4,8,0.0613137506,"I","V",0.0415900342,"E","V",0.0789775641,0,0,2.5700852982,"NoGlottalStop",0,13.9256442834,0.1029037847,0.4715759188,0.1029037847,0.5744797036,0.1029037847,"n#V","Neg",1,0,0,"elligble",1,1,5,"unstressed","primary","transparent","bound",1,1315.26,1129.05,19,"male","British English","no","Norfolk","Japanese - basic","no","English Language and English Language Teaching (Year 2)","Anglia Ruskin University","yes. for 1 year (with university)","yes","yes","yes","yes","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word","No Pause","No Pause",3.50182929971363,"LowFreq","simply_decomposed"
