affix,stem,derived_word,ST
-ful,waste,wasteful,6.43
-ful,watch,watchful,6.14
-er,waver,waverer,6.43
-y,weep,weepy,6.29
-ly,weird,weirdly,6.29
-ize,western,westernize,5.71
-er,wholesale,wholesaler,6.43
-ness,wild,wilderness,5.29
-less,wing,wingless,5.86
-ful,wish,wishful,6.14
-ful,woe,woeful,6.29
-ly,wry,wryly,6.43
-y,yeast,yeasty,5.71
-ness,yellow,yellowness,6.57
-ness,youthful,youthfulness,6.29
