"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","StressPattern"
"644",644,"imperceivable","Experiment_1_participant_16",1129,"Participant_16_11.TextGrid","N","N","Accented","Yannick",13,0.9062095987,5,10,0.1107677965,"I","V",0.0735964107,"p","C",0.0518685609,0.479535709,0.5084700856,2.9271294283,"NoGlottalStop",0,11.0349747054,0.1843642072,0.7218453915,0.1843642072,0.9062095987,0.1843642072,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,1587.84,1397.33,23,"Male","English (British)","No","Canada","None","No","Zoology. 3rd year","Anglia Ruskin University","No","No","No","No","No","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",110.7677965,"pause","pause",1.36652652299119,"LowFreq","unstressed-unstressed"
"645",645,"imperceivable","Experiment_1_participant_9",5462,"Participant_9_15.TextGrid","N","N","Accented","Yannick",57,0.9714987143,5,9,0.0903055997,"I","V",0.0847123469,"p","C",0.095672755,0.1002731511,0,2.1855263647,"NoGlottalStop",0,9.2640369641,0.1750179466,0.7964807677,0.1750179466,0.9714987143,0.1750179466,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",2,1013.95,871.53,19,"female","British English","no","England","French. basic","no","BA(Hons) first year","Anglia Ruskin University","Yes. 2 years","Yes","Yes","Yes","Yes","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",90.3055997,"pause","no pause",1.83022271641599,"LowFreq","unstressed-unstressed"
"646",646,"imperceivable","Experiment_1_participant_22",2274,"Participant_22_79.TextGrid","N","N","Accented","Lara",296,0.8728644701,5,10,0.0649744898,"I","V",0.0524370054,"p","C",0.1026586042,0.062411823,0.2446566246,2.1389956538,"NoGlottalStop",0,11.4565323061,0.1174114952,0.7554529748,0.1174114952,0.8728644701,0.1174114952,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,1236.11,1055.97,30,"Female","English","No","Cambridge UK","None","No","English Language teaching. 1st year","Anglia Ruskin Cambridge","No","currently Studying","currently Studying","currently Studying","currently Studying","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",64.9744898,"pause","pause",1.8700365252701,"LowFreq","unstressed-unstressed"
"647",647,"imperceivable","Experiment_1_participant_27",3161,"Participant_27_5.TextGrid","N","N","Unaccented","Yannick",264,0.873830689,5,11,0.0861863573,"I","V",0.0431053745,"p","C",0.0850501741,0.1450077575,0.0451645421,4.302488294,"GlottalStop",0.013820619,12.588250949,0.1431123508,0.7307183382,0.1431123508,0.86001007,0.1292917318,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",2,652.99,504.12,19,"Female","British English","No","Czech Republic (ages 4-7). mostly Cheltenham. England","Proficient - French. Spanish. very basic Czech and German","Yes. studied for 7 years - A* GCSE","MML. 1st Year","Cambridge","No","A couple of lectures","A couple of lectures","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",86.1863573,"pause","pause",2.09181278018836,"LowFreq","unstressed-unstressed"
"648",648,"imperceivable","Experiment_1_participant_14",903,"Participant_14_51.TextGrid","N","N","Accented","Mandy",266,0.9040270469,5,10,0.0637559762,"I","V",0.0555821331,"p","C",0.0672084565,0.9341439747,0.4307447758,3.3245389964,"NoGlottalStop",0,11.0616159488,0.1193381093,0.7846889376,0.1193381093,0.9040270469,0.1193381093,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,1222.05,990.78,19,"Female","English","No","Maidenhead. Berskire. England","None","No","English Language and Linguistics Second Year","Anglia Ruskin University ","Yes for two years while at university ","Yes","Yes","Yes","Yes","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",63.7559762,"pause","pause",1.20317433615049,"LowFreq","unstressed-unstressed"
"649",649,"imperceivable","Experiment_1_participant_24",2591,"Participant_24_284.TextGrid","N","N","Accented","Simon",206,1.0733692938,5,11,0.0871996602,"I","V",0.0892051017,"p","C",0.068606937,0.4227250567,0,2.7051814059,"NoGlottalStop",0,10.2481038573,0.1764047619,0.8969645319,0.1764047619,1.0733692938,0.1764047619,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,1106.06,951.67,47,"m","English British ","no","United Kingdom","French basic","no","not applicable","not applicable","no","no","no","no","no","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",87.1996602,"pause","no pause",1.47864390583049,"LowFreq","unstressed-unstressed"
"650",650,"imperceivable","Experiment_1_participant_19",1792,"Participant_19_280.TextGrid","N","N","Unaccented","Lara",202,0.8539362275,5,11,0.0447231482,"I","V",0.0645891515,"p","C",0.075077885,0.3309542706,0,4.1092210369,"GlottalStop",0.0439777022,12.8815239889,0.1532900018,0.7006462257,0.1532900018,0.8099585253,0.1093122996,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",3,1680.43,1512.78,19,"male","British","Not bilingual","Brentwood. Essex","Can speak no other language","I know of latin but have never learnt or attempted to speak it","Film Year 1","Anglia Ruskin","NO","No","No","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",44.7231482,"pause","no pause",2.19019612699871,"LowFreq","unstressed-unstressed"
"651",651,"imperceivable","Experiment_1_participant_28",3369,"Participant_28_85.TextGrid","N","N","Accented","Viktoria",303,0.877068119,5,10,0.0837304017,"I","V",0.1087791483,"p","C",0.051782528,0,0,1.9507171394,"NoGlottalStop",0,11.4016229563,0.19250955,0.684558569,0.19250955,0.877068119,0.19250955,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",2,757.61,650.42,19,"Female","British English","No","Kent. England","Brazilian Portuguese. basic","No","Psychological and Behavioural Sciences. First Year","University of Cambridge","No","No","No","No","No","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",83.7304017,"no pause","no pause",2.05052794134485,"LowFreq","unstressed-unstressed"
"652",652,"imperceivable","Experiment_1_participant_20",2010,"Participant_20_41.TextGrid","N","N","Accented","Simon",255,0.8595042259,5,11,0.1047800454,"I","V",0.0573023432,"p","C",0.0648610337,0.179969475,0,5.2273592215,"NoGlottalStop",0,12.7980755279,0.1620823885,0.6974218374,0.1620823885,0.8595042259,0.1620823885,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,928.7,842.19,24,"female","British English ","no","West Sussex","Mandarin. Basic ","no","MA Dramatherapy year 1","Anglia Ruskin","No","No","No","No","No","unaccented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",104.7800454,"pause","no pause",1.72171064176788,"LowFreq","unstressed-unstressed"
"653",653,"imperceivable","Experiment_1_participant_11",369,"Participant_11_93.TextGrid","N","N","Accented","Viktoria",312,1.1940811966,5,12,0.1354129855,"I","V",0.0840917557,"p","C",0.1016862043,0.2688217206,0.4690915169,3.2235430839,"NoGlottalStop",0,10.0495678471,0.2195047413,0.9745764553,0.2195047413,1.1940811966,0.2195047413,"m#C","Neg",1,4,0,"PERCEIVABLE",1,1,5,"unstressed","unstressed","transparent","word",1,1004.83,804.63,19,"female","British English","I only know British English","Cuckfield. West Sussex. UK","I know a little weeny bit of spanish (did it for GCSE)","No knowledge of latin- always something I wish I was taught","I am currently studying English Language and English Language Teaching","Anglia Ruskin University","Not really. but did occur slightly in my English Language A-Level","As I have just started the course. I've had 2 lectures on it!","Just had 2 lectures on it!","Not as of yet.","Slightly. 2 lectures into it.","accented","Experiment_1",0,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",135.4129855,"pause","pause",1.24087064943478,"LowFreq","unstressed-unstressed"
