"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","StressPattern"
"734",734,"impermissible","Experiment_1_participant_13",738,"Participant_13_85.TextGrid","N","N","Accented","Lara",303,0.5926894632,5,10,0.0530728323,"I","V",0.0244167281,"p","C",0.0729001063,0.279828335,0.2604229781,2.032328877,"NoGlottalStop",0,16.8722419087,0.0774895604,0.5151999028,0.0774895604,0.5926894632,0.0774895604,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",3,1011.46,825.5,35,"male","British","no","UK","none","yes. 2 years","law phd 5 year","ARU","no","No","No","No","No","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",53.0728323,"pause","pause",1.96818538833368,"MidFreq","unstressed-unstressed"
"735",735,"impermissible","Experiment_1_participant_30",3892,"Participant_30_36.TextGrid","N","N","Unaccented","Viktoria",249,0.8968665567,5,11,0.0709570241,"I","V",0.0433407395,"p","C",0.0734518837,0,0,3.6972267574,"GlottalStop",0.2355364407,12.2649238254,0.3498342042,0.5470323525,0.3498342042,0.6613301161,0.1142977635,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,658.03,536.12,18,"Female","British English","N/A","North London","Proficient French and German. Medium proficient Spanish","No","MML- Year 1","Cambridge University","No","No","No","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",70.9570241,"no pause","no pause",2.43425696895288,"MidFreq","unstressed-unstressed"
"736",736,"impermissible","Experiment_1_participant_27",3160,"Participant_27_49.TextGrid","N","N","Unaccented","Yannick",263,0.7563674647,5,11,0.0732455073,"I","V",0.0841561133,"p","C",0.0997649577,0,0.0622226024,3.421804568,"NoGlottalStop",0,14.5431956197,0.1574016206,0.5989658441,0.1574016206,0.7563674647,0.1574016206,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,652.99,504.12,19,"Female","British English","No","Czech Republic (ages 4-7). mostly Cheltenham. England","Proficient - French. Spanish. very basic Czech and German","Yes. studied for 7 years - A* GCSE","MML. 1st Year","Cambridge","No","A couple of lectures","A couple of lectures","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",73.2455073,"no pause","pause",2.63019112317697,"MidFreq","unstressed-unstressed"
"737",737,"impermissible","Experiment_1_participant_8",5366,"Participant_8_297.TextGrid","N","N","Accented","Mandy",220,0.7606057289,5,10,0.0927949511,"I","V",0.0353294152,"p","C",0.0741529256,0.0746619111,0.1090050043,1.8281261595,"NoGlottalStop",0,13.1474160926,0.1281243663,0.6324813626,0.1281243663,0.7606057289,0.1281243663,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",2,825.2,680.24,24,"female","British English","No","Surrey. England","None","No","English Language & Linguistics - First Year","Anglia Ruskin University","currently studying","currently studying","currently studying","currently studying","currently studying","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",92.7949511,"pause","pause",2.18803280026036,"MidFreq","unstressed-unstressed"
"738",738,"impermissible","Experiment_1_participant_25",2797,"Participant_25_6.TextGrid","N","N","Unaccented","Lara",275,1.1539928193,5,10,0.2214743953,"I","V",0.0739795918,"p","C",0.3442863466,0.0735529949,0,4.2759807256,"NoGlottalStop",0,8.6655651858,0.2954539872,0.8585388322,0.2954539872,1.1539928193,0.2954539872,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",3,828.11,684.54,39,"Male","British English","No","Bassingbourn. England UK","None","None","Chief Computing Technician","n/a","n/a","n/a","n/a","n/a","n/a","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",221.4743953,"pause","no pause",2.10478030130436,"MidFreq","unstressed-unstressed"
"739",739,"impermissible","Experiment_1_participant_28",3197,"Participant_28_10.TextGrid","N","N","Unaccented","Yannick",2,0.7621286807,5,10,0.088789171,"I","V",0.0792889573,"p","C",0.0899272794,0.0274143243,0,3.5731791123,"NoGlottalStop",0,13.1211437819,0.1680781282,0.5940505525,0.1680781282,0.7621286807,0.1680781282,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",2,757.61,650.42,19,"Female","British English","No","Kent. England","Brazilian Portuguese. basic","No","Psychological and Behavioural Sciences. First Year","University of Cambridge","No","No","No","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",88.789171,"pause","no pause",2.51876542349058,"MidFreq","unstressed-unstressed"
"740",740,"impermissible","Experiment_1_participant_17",1440,"Participant_17_294.TextGrid","N","N","Unaccented","Mandy",217,0.9632213874,5,10,0.0854978339,"{","V",0.0657675645,"p","C",0.1719352044,0,0,3.6978599852,"GlottalStop",0.130791928,10.3818292775,0.2820573263,0.681164061,0.2820573263,0.8324294594,0.1512653984,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,661.54,535.85,20,"Female","British English","No","3 years in Cambridge. 2 in Bristol. 3 in Felixstowe. 8 in Bradford. 2 in Abingdon","Basic French","No","2nd year Natural Sciences (Chemistry and materials)","Cambridge","No","No","No","No","No","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",85.4978339,"no pause","no pause",2.43384012267118,"MidFreq","unstressed-unstressed"
"741",741,"impermissible","Experiment_1_participant_11",253,"Participant_11_209.TextGrid","N","N","Accented","Lara",123,0.9332188365,5,10,0.0782063155,"i","V",0.0676505377,"p","C",0.1062667942,0.2518277298,0.0949490773,2.4602947846,"NoGlottalStop",0,10.7156002529,0.1458568532,0.7873619833,0.1458568532,0.9332188365,0.1458568532,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,1004.83,804.63,19,"female","British English","I only know British English","Cuckfield. West Sussex. UK","I know a little weeny bit of spanish (did it for GCSE)","No knowledge of latin- always something I wish I was taught","I am currently studying English Language and English Language Teaching","Anglia Ruskin University","Not really. but did occur slightly in my English Language A-Level","As I have just started the course. I've had 2 lectures on it!","Just had 2 lectures on it!","Not as of yet.","Slightly. 2 lectures into it.","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",78.2063155,"pause","pause",1.62582143612938,"MidFreq","unstressed-unstressed"
"742",742,"impermissible","Experiment_1_participant_10",101,"Participant_10_262.TextGrid","N","N","Accented","Yannick",182,0.7364698064,5,10,0.0693579837,"i","V",0.069315896,"p","C",0.0652861877,0,0,1.611148904,"NoGlottalStop",0,13.5782891754,0.1386738797,0.5977959267,0.1386738797,0.7364698064,0.1386738797,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,1125.85,875.1,19,"Male","British English","No","England","Basic French","Yes. self study. minute proficiency","English Language and English Language Teaching. 1 ","Anglia Ruskin University","Studying now. 2 weeks","Studying now","Studying now","Studying now","Studying now","accented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",69.3579837,"no pause","no pause",2.48270038236019,"MidFreq","unstressed-unstressed"
"743",743,"impermissible","Experiment_1_participant_24",2581,"Participant_24_267.TextGrid","N","N","Accented","Simon",187,0.8864890978,5,11,0.1156059163,"I","V",0.0626257198,"p","C",0.067964982,0.4358972377,0,5.2143137063,"NoGlottalStop",0,12.4085000337,0.1782316361,0.7082574617,0.1782316361,0.8864890978,0.1782316361,"m#C","Neg",18,228,40,"PERMISSIBLE",1,1,5,"unstressed","unstressed","transparent","bound",1,1106.06,951.67,47,"m","English British ","no","United Kingdom","French basic","no","not applicable","not applicable","no","no","no","no","no","unaccented","Experiment_1",2.89037175789616,0,0,1,0,NA,NA,NA,NA,NA,NA,"m",1,"word",115.6059163,"pause","no pause",1.72601813142276,"MidFreq","unstressed-unstressed"
