"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","Environment2","StressPattern"
"546",5545,"disorders","participant_5B_Experiment_2",3410,"participant_5_B_208.TextGrid","N","N","Accented","Simon",208,0.51989476887436,3,7,0.10940216553288,"I","V",0.0478625332037577,"o","V",0.147722651026222,0.0568081200734263,0,4.47199999999998,"NoGlottalStop",0,13.4642631914837,0.157264698736637,0.333511076508525,0.186383692365835,0.51989476887436,0.157264698736637,"s#V","dis",1,1,NA,"orders",1,44739,NA,"unstressed","primary","transparent","word",1,868.83,1043.44,20,"male","British English","no","Leeds","None","I know a few words and phrases. I have never studied it","English Language and English Language Teaching. 2nd year","Anglia Ruskin University","Yes. 1 year","Yes","Yes","Yes","Yes","unaccented","Experiment_2",0,10.7086008834309,0,2.23518630277834e-05,-10.7086008834309,"order",NA,NA,0.185788425482303,"yes","s","s",1,"word",109.40216553288,"pause","no pause",2.01252236135958,"LowFreq","s#V-stressed","unstressed-primary"
"547",5546,"disorders","participant_12B_Experiment_2",1107,"participant_12_B_195.TextGrid","N","N","Unaccented","Mandy",195,0.480265873886677,3,7,0.0855743699118996,"I","V",0.0448628303780527,"O","V",0.147746882086167,0.0430648907772779,0,4.91599999999994,"NoGlottalStop",0,14.5752600395083,0.130437200289952,0.328873354180382,0.151392519706296,0.480265873886677,0.130437200289952,"s#V","dis",1,1,NA,"orders",1,44739,NA,"unstressed","primary","transparent","word",1,770.28,931.2,20,"male","British English","no","Coventry. West Midlands. England.","Japanese - Basic (<N5).","no","English Language and English Language Teaching - Year 2","Anglia Ruskin University","Yes - 1 Year. still in progress.","Yes.","Yes.","Yes.","Yes.","unaccented","Experiment_2",0,10.7086008834309,0,2.23518630277834e-05,-10.7086008834309,"order",NA,NA,0.181126472094214,"yes","s","s",1,"word",85.5743699118996,"pause","no pause",1.83075671277464,"LowFreq","s#V-stressed","unstressed-primary"
"548",5547,"disorders","participant_4B_Experiment_2",3127,"participant_4_B_88.TextGrid","N","N","Accented","Sonia",88,0.535580735776898,3,7,0.0912696066932521,"I","V",0.0579975978629887,"O","V",0.136671201814059,0.0658731568912807,0,4.81999999999994,"NoGlottalStop",0,13.0699249102864,0.149267204556241,0.351913832199546,0.183666903577351,0.535580735776898,0.149267204556241,"s#V","dis",1,1,NA,"orders",1,44739,NA,"unstressed","primary","transparent","word",2,508.88,607.82,19,"female","British English","no","North London","Basic French","Some - I studied it for GCSE","Natural Sciences (Biological). 2nd year","University of Cambridge","no","no","no","no","no","unaccented","Experiment_2",0,10.7086008834309,0,2.23518630277834e-05,-10.7086008834309,"order",NA,NA,0.215242630385487,"yes","s","s",1,"word",91.2696066932521,"pause","no pause",1.86721991701247,"LowFreq","s#V-stressed","unstressed-primary"
"549",5548,"disorders","participant_5A_Experiment_2",3300,"participant_5_A_40.TextGrid","N","N","Accented","Viktoria",40,0.69111781592959,3,7,0.113725601869457,"I","V",0.042875629463917,"O","V",0.182585758377425,0.235036649796811,0,3.94400000000002,"NoGlottalStop",0,10.1285191014569,0.156601231333374,0.51466726505417,0.17645055087542,0.69111781592959,0.156601231333374,"s#V","dis",1,1,NA,"orders",1,44739,NA,"unstressed","primary","transparent","word",1,731.92,833.23,27,"male","British English","no","Taunton. Somerset. UK (South West)","None","no","Psychological and Behavioural Sciences (1st Year)","University of Cambridge","no","no","no","no","no","accented","Experiment_2",0,10.7086008834309,0,2.23518630277834e-05,-10.7086008834309,"order",NA,NA,0.332081506676745,"yes","s","s",1,"word",113.725601869457,"pause","no pause",1.01419878296146,"LowFreq","s#V-stressed","unstressed-primary"
"550",5549,"disorganize","participant_10A_Experiment_2",105,"participant_10_A_240.TextGrid","N","N","Unaccented","Viktoria",240,0.809833843868931,4,9,0.106954852221464,"I","V",0.0606160400880875,"O","V",0.144937785696289,0.0508931720836481,0,5.70800000000008,"NoGlottalStop",0,11.1133908123709,0.167570892309552,0.61322086110969,0.196612982759242,0.809833843868931,0.167570892309552,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,690.83,785.84,25,"female","British English","no","Surrey. England","None","no","English Language & Linguistics - Second Year","Anglia Ruskin University","Yes - one year","Yes","Yes","Yes","Yes","accented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.371406640183224,"no","s","s",1,"word",106.954852221464,"pause","no pause",0.700770847932716,"LowFreq","s#V-stressed","unstressed-primary"
"551",5550,"disorganize","participant_8B_Experiment_2",4786,"participant_8_B_66.TextGrid","N","N","Unaccented","Mandy",66,0.748768533054247,4,9,0.0999048797007984,"I","V",0.055538233106847,"O","V",0.149806596578025,0.0573544973544977,0,5.06799999999998,"NoGlottalStop",0,12.0197358765716,0.155443112807645,0.562069914212771,0.186698618841476,0.748768533054247,0.155443112807645,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,731.43,938.66,31,"female","British English","no","Cambridge UK","Basic Japanese","no","English Language and English Language Teaching. Year 2","Anglia Ruskin University Cambridge","Year 1 at ARU","Years 1 and 2 ARU","Years 1 and 2 ARU","Year 1 ARU","Year 1 ARU","unaccented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.33081062091743,"no","s","s",1,"word",99.9048797007984,"pause","no pause",1.77584846093134,"LowFreq","s#V-stressed","unstressed-primary"
"552",5551,"disorganize","participant_13A_Experiment_2",1308,"participant_13_A_172.TextGrid","N","N","Unaccented","Sonia",172,0.683453070116936,4,9,0.0918508772852897,"I","V",0.0674860337957579,"O","V",0.139343677341476,0.0504572940287225,0,4.17599999999993,"NoGlottalStop",0,13.1684242759494,0.159336911081048,0.503924804415962,0.179528265700974,0.683453070116936,0.159336911081048,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,752.18,872.99,19,"male","British English","no","South Devon","French proficient and Spanish medium proficient","no","Linguistics 1st year","University of Cambridge","Yes. for around 4 weeks","Yes","Yes","no","no","accented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.286562518340669,"no","s","s",1,"word",91.8508772852897,"pause","no pause",0.957854406130284,"LowFreq","s#V-stressed","unstressed-primary"
"553",5552,"disorganize","participant_12B_Experiment_2",1111,"participant_12_B_200.TextGrid","N","N","Unaccented","Mandy",200,0.611400520702108,3,8,0.0777697580135812,"I","V",0.0402070341410901,"O","V",0.152888738718445,0.0401410934744271,0,5.43599999999992,"NoGlottalStop",0,13.0847124415483,0.117976792154671,0.471128261688127,0.140272259013981,0.611400520702108,0.117976792154671,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,770.28,931.2,20,"male","British English","no","Coventry. West Midlands. England.","Japanese - Basic (<N5).","no","English Language and English Language Teaching - Year 2","Anglia Ruskin University","Yes - 1 Year. still in progress.","Yes.","Yes.","Yes.","Yes.","unaccented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.318239522969682,"no","s","s",1,"word",77.7697580135812,"pause","no pause",1.65562913907287,"LowFreq","s#V-stressed","unstressed-primary"
"554",5553,"disorganize","participant_2B_Experiment_2",2097,"participant_2_B_106.TextGrid","N","N","Accented","Viktoria",106,0.63175115922072,4,9,0.0784222067639426,"I","V",0.0549926507261027,"O","V",0.149997061364842,0.0675401597504028,0,5.36399999999998,"NoGlottalStop",0,14.2461155292564,0.133414857490045,0.476897760148992,0.154853399071728,0.63175115922072,0.133414857490045,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,651.89,768.76,20,"female","British English","no","England","Japanese. basic.  French. basic","no","English Language and Linguistics. 2nd year","Anglia Ruskin","2 years","Yes","Yes","Yes","Yes","unaccented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.241508541721544,"no","s","s",1,"word",78.4222067639426,"pause","no pause",1.67785234899329,"LowFreq","s#V-stressed","unstressed-primary"
"555",5554,"disorganize","participant_9A_Experiment_2",4941,"participant_9_A_290.TextGrid","N","N","Accented","Viktoria",290,0.955951258277788,4,9,0.0736047254150702,"I","V",0.0683113387044978,"O","V",0.204754428341384,0.433658044902943,0.213584032124405,4.21199999999999,"NoGlottalStop",0,9.41470595081816,0.141916064119568,0.797487232130089,0.1584640261477,0.955951258277788,0.141916064119568,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,677.58,776.81,20,"female","British English ","no","Maidenhead. Berksire. Uk","None ","no","English Langaueg and Linguistics - Year 2","Anglia Ruskin ","Yes two years ","Yes ","Yes","Yes","Yes","accented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.492852816154783,"no","s","s",1,"word",73.6047254150702,"pause","pause",0.949667616334285,"LowFreq","s#V-stressed","unstressed-primary"
"556",5555,"disorganize","participant_10B_Experiment_2",226,"participant_10_B_118.TextGrid","N","N","Unaccented","Sonia",118,0.64060904459079,4,9,0.0950801944143653,"I","V",0.0445554985482262,"O","V",0.128298706507211,0.070846850600415,0,5.32400000000007,"NoGlottalStop",0,14.0491303955114,0.139635692962591,0.450703203361304,0.189905841229486,0.64060904459079,0.139635692962591,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,627.46,777.21,19,"female","British English","no","North-West London","German (proficient). French (proficient). Spanish (basic/medium proficient)","no","MML (French and German)- Second Year","University of Cambridge","no","no","no","no","no","unaccented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.23747374360041,"no","s","s",1,"word",95.0801944143653,"pause","no pause",1.69045830202853,"LowFreq","s#V-stressed","unstressed-primary"
"557",5556,"disorganize","participant_8A_Experiment_2",4499,"participant_8_A_257.TextGrid","N","N","Accented","Sonia",257,0.636379522065236,4,9,0.0904234228428213,"I","V",0.0419009769463341,"O","V",0.107895980029439,0.0380019810121851,0,3.44000000000005,"NoGlottalStop",0,14.1425041000571,0.132324399789155,0.474998436567609,0.161381085497627,0.636379522065236,0.132324399789155,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,834.92,1022.03,21,"male","British English","no","London. then Oxfordshire","French (proficient). Arabic (proficient). Farsi (medium proficient)","Yes. I studied Latin for 8 years. proficient.","Middle Eastern Studies. 4th year","University of Cambridge","no","I went to a few lectures on phonetics in my first year of university.","The above lecture also covered phonology.","no","no","accented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.276232905013857,"no","s","s",1,"word",90.4234228428213,"pause","no pause",1.1627906976744,"LowFreq","s#V-stressed","unstressed-primary"
"558",5557,"disorganize","participant_7A_Experiment_2",3992,"participant_7_A_126.TextGrid","N","N","Accented","Sonia",126,0.674198108814054,4,9,0.0927918964856899,"I","V",0.0369424154847123,"O","V",0.116944146079484,0.0262909784875337,0,2.096,"NoGlottalStop",0,13.3491919991164,0.129734311970402,0.511841396646378,0.162356712167676,0.674198108814054,0.129734311970402,"s#V","dis",5,12,2,"organize",39,3360,4,"unstressed","primary","transparent","word",1,622.76,704.26,23,"male","British English","no","Oxford. England","None","no","Life Sciences. Year 3","Anglia Ruskin University","no","no","no","no","no","accented","Experiment_2",1.6094379124341,8.11969625295725,3.66356164612965,0.0116071428571429,-4.4561346068276,"organ",NA,NA,0.308166335978836,"no","s","s",1,"word",92.7918964856899,"pause","no pause",1.90839694656489,"LowFreq","s#V-stressed","unstressed-primary"
